,ISBN,titulo,autor,editora,data_publicacao,url_BNP
0,978-989-644-448-8,Outras mentes,"Smith, Peter Godfrey",Temas e Debates,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-644-448-8
0,978-989-616-811-7,Poções e paixões,"André, João Paulo",Gradiva,2018,http://urn.bn.pt/isbn/mods/xml?id=9789896168117
0,978-989-644-434-1,"Nós, os micróbios e uma visão alargada da vida","Yong, Ed",Temas e Debates,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-644-434-1
0,978-989-641-752-9,Preparação para a noite,"Rocha, Jaime, pseud.",Relógio d'Água,cop. 2017,http://urn.bn.pt/isbn/mods/xml?id=9789896417529
0,978-972-23-6156-9,<Os >contos de Beedle o bardo,"Rowling, J. K., 1965-",Presença,2018,http://urn.bn.pt/isbn/mods/xml?id=9789722361569
0,978-989-644-445-7,<Um >dia na vida do cérebro,"Greenfield, Susan A.",Temas e Debates-Círculo de Leitores,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-644-445-7
0,978-989-99658-8-1,<A >guerra,"Letria, José Jorge, 1951-",Pato Lógico,2018,http://urn.bn.pt/isbn/mods/xml?id=9789899965881
0,978-989-8688-50-7,Sonetos completos,"Quental, Antero de, 1842-1891",Abysmo,2017,http://urn.bn.pt/isbn/mods/xml?id=9789898688507
0,978-989-8688-40-8,Odes modernas ;,"Quental, Antero de, 1842-1891",Abysmo,2016,http://urn.bn.pt/isbn/mods/xml?id=978-989-8688-40-8
0,,,,,,
0,978-989-641-767-3,Poemas,"Donne, John, 1573-1631",Relógio d'Água,cop. 2017,http://urn.bn.pt/isbn/mods/xml?id=9789896417673
0,978-989-641-769-7,Poemas escolhidos,"Yeats, William Butler, 1865-1939",Relógio d'Água,cop. 2017,http://urn.bn.pt/isbn/mods/xml?id=9789896417697
0,978-989-8828-21-7,<La >mariée mise à nu,"Campos, Madalena de Castro, 1984-",Companhia das Ilhas,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-8828-21-7
0,978-989-8828-41-5,Ao largo de Delos,"Osório, Ramiro S., 1939-",Companhia das Ilhas,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-8828-41-5
0,978-972-37-1964-2,Nadar na piscina dos pequenos,"Anghel, Golgona, 1979-",Assírio & Alvim,2018,http://urn.bn.pt/isbn/mods/xml?id=978-972-37-1964-2
0,978-972-37-1947-5,Poesias completas & dispersos,"O'Neill, Alexandre, 1924-1986",Assírio & Alvim,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-37-1947-5
0,978-972-37-1945-1,Poesia,"Andrade, Eugénio de, pseud.",Assírio & Alvim,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-37-1945-1
0,978-972-37-1966-6,Poesia,"Cesariny, Mário, 1923-2006",Assírio & Alvim,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-37-1966-6
0,978-972-372009-9,Poemas da antologia grega,"Oliveira, José Alberto, 1952-",Assírio & Alvim,2018,http://urn.bn.pt/isbn/mods/xml?id=978-972-37-2009-9
0,978-972-37-1911-6,Épico de GilgameÏs,"Parreira, Francisco Luís, 1965-",Assírio & Alvim,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-37-1911-6
0,978-989-641-842-7,Obra completa,"Rimbaud, Arthur, 1854-1891",Relógio d'Água,cop. 2018,http://urn.bn.pt/isbn/mods/xml?id=9789896418427
0,978-989-671-387-4,Poemas quotidianos,"Reis, António, 1927-1991",Tinta da China,2017,http://urn.bn.pt/isbn/mods/xml?id=9789896713874
0,978-989-671-361-4,Violeta Parra para meninas e meninos,"Fink, Nadia",Tinta-da-China,cop. 2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-671-361-4
0,978-989-671-442-0,"Labareda, poemas escolhidos","Lacerda, Alberto de, 1928-2007",Tinta da China,2018,http://urn.bn.pt/isbn/mods/xml?id=9789896714420
0,978-989-616-804-9,Zombies & cálculo,"Adams, Colin, 1956-",Gradiva,2018,http://urn.bn.pt/isbn/mods/xml?id=9789896168049
0,978-989-8166-35-7,Nunca se passa nada no meu bairro,"Raskin, Ellen, 1928-1984",Bruaá Editora,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-8166-35-7
0,978-989-8166-36-4,<A >meia perdida,"Bösenberg, Anine",Bruaá,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-8166-36-4
0,978-989-8868-10-7,<O >regresso da baleia,"Davies, Benji, 1980-",Orfeu Negro,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-8868-10-7
0,978-972-0-70239-5,Perguntas e respostas sobre o teu corpo,"Daynes, Katie",Porto Editora,cop. 2014,http://urn.bn.pt/isbn/mods/xml?id=978-972-0-70239-5
0,978-989-666-148-9,Não se deixe enganar,"Fiolhais, Carlos, 1956-",Contraponto,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-666-148-9
0,978-972-27-2510-1,Sou o Lince-Ibérico,"Freitas, Maria João, 1964-",Imprensa Nacional-Casa da Moeda,2016,http://urn.bn.pt/isbn/mods/xml?id=978-972-27-2510-1
0,978-972-0-70695-9,Tudo o que deves saber!,"Farndon, John, 1960-",Porto Editora,2017,http://urn.bn.pt/isbn/mods/xml?id=978-972-0-70695-9
0,978-989-644-460-0,<O >caso da PIDE-DGS,"Pimentel, Irene, 1950-",Temas e Debates-Circulo de Leitores,2017,http://urn.bn.pt/isbn/mods/xml?id=9789896444600
0,978-989-99149-2-6,"George Harrison, à porta fechada","Thomson, Graeme",A Ferro e Aço,2017,http://urn.bn.pt/isbn/mods/xml?id=9789899914926
0,978-989-666-160-1,Salvador Sobral,"Tavares, Maria Milene, 1975-",Contraponto,2017,http://urn.bn.pt/isbn/mods/xml?id=9789896661601
0,978-989-666-145-8,Rita Lee,"Lee, Rita",Contraponto,2017,http://urn.bn.pt/isbn/mods/xml?id=9789896661458
0,978-989-741-677-4,Amália,"Dacosta, Fernando, 1940-",Casa das Letras,2017,http://urn.bn.pt/isbn/mods/xml?id=9789897416774
0,978-972-53-0606-2,<O >poder da música,"Hanna, Osseily, 1978-",Editorial Bizâncio,2018,http://urn.bn.pt/isbn/mods/xml?id=9789725306062
0,978-972-0-70694-2,Tudo o que deves saber sobre o corpo humano,"Farndon, John, 1960-",Porto Editora,2017,http://urn.bn.pt/isbn/mods/xml?id=9789720706942
0,978-989-722-328-0,<A >contraluz,"Cusk, Rachel, 1967-",Quetzal,2017,http://urn.bn.pt/isbn/mods/xml?id=9789897223280
0,978-989-722-360-0,Sucesso,"Amis, Martin, 1949-",Quetzal,2017,http://urn.bn.pt/isbn/mods/xml?id=9789897223600
0,978-972-38-3038-5,<A >metamorfose,"Kafka, Franz, 1883-1924",Livros do Brasil,2018,http://urn.bn.pt/isbn/mods/xml?id=978-972-38-3038-5
0,978-989-641-806-9,"Mulherzinhas ou Meg, Jo, Beth e Amy","Alcott, Louisa May, 1832-1888",Relógio d'Água,cop. 2017,http://urn.bn.pt/isbn/mods/xml?id=9789896418069
0,978-989-648-771-3,Abissus e o livro que meteu água,"Gonzalez, Maria Teresa Maia, 1958-",Pass,2016,http://urn.bn.pt/isbn/mods/xml?id=978-989-648-771-3
0,978-989-707-443-1,<Os >contrabandistas de cristais,"Macedo, Maria Francisca, 1988-",Booksmile,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-707-443-1
0,978-989-722-416-4,Nova antologia pessoal,"Borges, Jorge Luís, 1899-1986",Quetzal,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-722-416-4
0,978-989-707-444-8,<Um >estranho caso na quinta,"Macedo, Maria Francisca, 1988-",Booksmile,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-707-444-8
0,978-989-616-764-6,Simetria,"Weyl, Hermann, 1885-1955",Gradiva,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-616-764-6
0,978-989-616-799-8,<A >ciência e os seus inimigos,"Fiolhais, Carlos, 1956-",Gradiva,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-616-799-8
0,978-989-616-789-9,Tecnologia versus humanidade,"Leonhard, Gerd",Gradiva,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-616-789-9
0,978-989-671-363-8,Clarice Lispector para meninas e meninos,"Fink, Nadia",Tinta-da-China,cop. 2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-671-363-8
0,978-989-671-362-1,Juana Azurduy para meninas e meninos,"Fink, Nadia",Tinta-da-China,cop. 2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-671-362-1
0,978-989-99759-9-6,<O >mundo é redondo,"Stein, Gertrude, 1874-1946",Ponto de Fuga,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-99759-9-6
0,978-989-8868-16-9,<Uma >rosa na tromba de um elefante,"Forte, António José, 1931-1988",Orfeu Negro, 2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-8868-16-9
0,978-989-8868-15-2,<Um >dia de neve,"Keats, Ezra Jack, 1916-1983",Orfeu Negro,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-8868-15-2
0,978-989-8868-00-8,<A >ilha do avô,"Davies, Benji, 1980-",Orfeu Negro,2017,http://urn.bn.pt/isbn/mods/xml?id=978-989-8868-00-8
0,978-989-8868-14-5,<Um >capuchinho vermelho,"Leray, Marjolaine, 1984-",Orfeu Negro,2018,http://urn.bn.pt/isbn/mods/xml?id=978-989-8868-14-5
